BU_Level1,BU_Level2,BU_Level3,BU_Level4
"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Салфетки матирующие
"Парфюмерия, косметика",Декоративная косметика,Тон для лица,Фиксатор макияжа
"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для солярия,Аксессуары для солярия
"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Фотоэпилятор
"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Скраб для губ
"Парфюмерия, косметика",Косметика для ухода за волосами,Окрашивание волос для женщин,Химическая завивка
"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Насадки для дарсонваля
"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для волос,Парики и пряди
"Парфюмерия, косметика",Косметика для ухода за волосами,Окрашивание волос для мужчин,Краска и оттеночное средство для волос мужские
"Парфюмерия, косметика",Косметические средства для детей и беременных,Детские косметические средства,Средство после загара детское
"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Электрозавивка для ресниц
"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Разогреватель воска
"Парфюмерия, косметика",Косметическая техника,Оборудование для салона красоты,Стерилизация и дезинфекция для салона красоты
"Парфюмерия, косметика",Парфюмерия,Парфюмерия для женщин,Одеколон женский
"Парфюмерия, косметика",Косметические средства для детей и беременных,Детские косметические средства,Набор детской косметики для ухода
"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Лампа для маникюра
"Парфюмерия, косметика",Косметика для ухода за кожей,Лицо,Сыворотки и дополнительный уход для глаз
"Парфюмерия, косметика",Косметика для ухода за волосами,Набор для волос мужской,Косметический набор для волос мужской
"Парфюмерия, косметика",Косметические аксессуары,Аксессуары для макияжа,Сумка косметолога/визажиста
"Парфюмерия, косметика",Косметика для ухода за кожей,Средства для бритья и депиляции женские,Средство после депиляции женское
"Парфюмерия, косметика",Парфюмерия,Парфюмерия для женщин,Парфюмерный набор женский
"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Термобигуди
"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для женщин,Глина для укладки женская
"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для мужчин,"Лосьон, тоник для волос мужской"
"Парфюмерия, косметика",Декоративная косметика,Маникюр и педикюр,Дезинфицирующее средство
"Парфюмерия, косметика",Косметика для ухода за волосами,Окрашивание волос для женщин,Тушь для волос
"Парфюмерия, косметика",Косметика для ухода за кожей,Загар,Средство для загара в солярии
"Парфюмерия, косметика",Косметическая техника,Оборудование для салона красоты,Прочее оборудование для салонов красоты
"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для мужчин,Масло для волос мужское
"Парфюмерия, косметика",Косметика для ухода за кожей,Загар,Средство от солнечных ожогов
"Парфюмерия, косметика",Косметические средства для детей и беременных,Детская декоративная косметика,Помада для губ детская
"Парфюмерия, косметика",Парфюмерия,Парфюмерия для женщин,Атомайзер
"Парфюмерия, косметика",Косметика для ухода за кожей,Средства для бритья и депиляции женские,Набор средств для депиляции женский
"Парфюмерия, косметика",Косметическая техника,Приборы для косметических процедур,Насадки для эпилятора
"Парфюмерия, косметика",Косметическая техника,Оборудование для салона красоты,Маникюрный стол
"Парфюмерия, косметика",Косметическая техника,Оборудование для салона красоты,"Массажный стол, кресло"
"Парфюмерия, косметика",Косметика для ухода за волосами,Уход за волосами для мужчин,Маска для волос мужская
"Парфюмерия, косметика",Косметические средства для детей и беременных,Детская декоративная косметика,Тушь для ресниц детская
"Парфюмерия, косметика",Косметические аксессуары,Парикмахерские принадлежности,"Сумки, чехлы для парикмахерских инструментов"
"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,Развлекательная настольная игра
"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,Аксессуары для настольных игр
"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,Игра - ходилка
"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,"Карточные игры, кубики игральные детские"
"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,"Домино, МаДжонг"
"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,"Шахматы, шашки, нарды детские"
"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,"Лото русское, бинго"
"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,"Настольный футбол, хоккей для детей"
"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,Викторина
"Детские товары, игрушки","Игрушки, игры, развивающие игры",Настольная игра,Гадание и аксессуары
Электроника и электротовары,Портативная аудиотехника,Портативная акустика,Наушники
Электроника и электротовары,Аксессуары для электроники,Электропитание,Типовая батарейка
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Объектив
Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Машинка для стрижки
Электроника и электротовары,Бытовая техника,Климатическая техника,Погодная станция
Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Фен-щетка
Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Фен
Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Бритва электрическая
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Бленда для фото
Электроника и электротовары,Домашняя Аудио и Видеотехника,Акустическая система,Микрофон
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Компьютерная акустическая система
Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Триммер электрический
Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Щипцы для волос электрические
Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Электрическая зубная щетка
Электроника и электротовары,Бытовая техника,Климатическая техника,Увлажнитель воздуха
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Наушники компьютерные
Электроника и электротовары,Аксессуары для электроники,Электропитание,Аккумуляторы
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Веб-камера
Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Стайлер
Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Выпрямитель для волос
Электроника и электротовары,Бытовая техника,Климатическая техника,Вентилятор
Электроника и электротовары,Аксессуары для электроники,Электропитание,Зарядное устройство сетевое
Электроника и электротовары,Аксессуары для электроники,Электропитание,Сетевой удлинитель
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Чехол для фото
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фотосумка
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Сканер
Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Весы напольные электронные
Электроника и электротовары,Бытовая техника,Климатическая техника,Тепловентилятор
Электроника и электротовары,Аксессуары для электроники,Аксессуар к TV и аудио технике,"Кронштейн, подставка для TV и аудиотехники"
Электроника и электротовары,Аксессуары для электроники,Аксессуар к TV и аудио технике,TV антенна
Электроника и электротовары,Аксессуары для электроники,Аксессуар к TV и аудио технике,Универсальный пульт для электроники
Электроника и электротовары,Бытовая техника,Климатическая техника,"Воздухоочиститель, мойка воздуха"
Электроника и электротовары,Бытовая техника,Климатическая техника,Обогреватель
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Штатив
Электроника и электротовары,Портативная аудиотехника,Портативная акустика,Портативная акустическая система
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Источник бесперебойного питания
Электроника и электротовары,Аксессуары для электроники,Электропитание,Зарядное устройство автомобильное
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фотопленка
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Аккумулятор для фото-видео
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Пульт для фото
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Графический планшет
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Внешний привод ODD
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Монитор
Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,SSD диск
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Принтер
Электроника и электротовары,Домашняя Аудио и Видеотехника,Акустическая система,Домашний кинотеатр
Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Синтезатор
Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Электрогитара
Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Аксессуар для музыкального инструмента
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Крепление для фото/видео устройств
Электроника и электротовары,Аксессуары для электроники,Электропитание,Зарядное устройство для аккумуляторов
Электроника и электротовары,Аксессуары для электроники,Электропитание,Внешний аккумулятор
Электроника и электротовары,Бытовая техника,Климатическая техника,Водонагреватель
Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Студийная звуковая карта PRO
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Пластик для 3D печати
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,МФУ
Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Модуль памяти
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,"Чистящий карандаш для оптики, мониторов"
Электроника и электротовары,Аксессуары для электроники,Электропитание,Батареи для ИБП
Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Звуковая карта для ПК
Электроника и электротовары,Аксессуары для электроники,Аксессуар к TV и аудио технике,"Сумка, кейс для CD"
Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Корпус для HDD
Электроника и электротовары,Домашняя Аудио и Видеотехника,Акустическая система,Сабвуфер
Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Видеокарта
Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Жесткий диск
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Сумка для цифровой аппаратуры
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фоторюкзак
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фотовспышка
Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Материнская плата
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Светофильтр
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Микрофон компьютерный
Электроника и электротовары,Аксессуары для электроники,Электропитание,Аккумулятор для мобильного телефона
Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Компьютерный корпус
Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Система охлаждения
Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Блок питания
Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Студийная акустика
Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Духовые музыкальные инструменты
Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Процессор
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,3D принтер
Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Электро/электронный музыкальный инструмент
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,3D ручка
Электроника и электротовары,Бытовая техника,Электронные товары для красоты и здоровья,Электробигуди
Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Струнные музыкальные инструменты
Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Ударные музыкальные инструменты
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фото-штативная голова
Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Клавишные инструменты
Электроника и электротовары,Домашняя Аудио и Видеотехника,Акустическая система,Саундбар
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Держатель для светофильтра
Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Карта видеозахвата
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Батарейный блок для фото
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Студийный свет для фото
Электроника и электротовары,Домашняя Аудио и Видеотехника,Акустическая система,Акустическая система с док-станцией
Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Гитарный усилитель
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Ремень для фото
Электроника и электротовары,Бытовая техника,Климатическая техника,Мобильный кондиционер
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Рассеиватель для фото/видео
Электроника и электротовары,Аксессуары для электроники,Аксессуар к TV и аудио технике,Чехол для портативной акустики
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Подсветка для фото/видео
Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,"DJ-пульт, проигрыватель"
Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Внешняя звуковая карта
Электроника и электротовары,Бытовая техника,Климатическая техника,Стационарный кондиционер
Электроника и электротовары,Аксессуары для электроники,Аксессуар к TV и аудио технике,Экран для проектора
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Копировальный аппарат
Электроника и электротовары,Портативная аудиотехника,Портативная акустика,Беспроводные наушники
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Графический планшет-монитор
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Аквабокс
Электроника и электротовары,Аксессуары для электроники,Электропитание,Преобразователь напряжения
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фон для фото/видео
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,TV тюнер
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Крышка для объектива
Электроника и электротовары,Бытовая техника,Климатическая техника,Охладитель воздуха
Электроника и электротовары,Компьютеры и периферия,Компьютерные комплектующие,Микрокомпьютер
Электроника и электротовары,Бытовая техника,Климатическая техника,Вытяжной вентилятор
Электроника и электротовары,Домашняя Аудио и Видеотехника,Музыкальные инструменты,Спецэффект для электрогитары
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Кейс для фото
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фотоадаптер кольцо
Электроника и электротовары,Аксессуары для электроники,Аксессуар к TV и аудио технике,3D очки для телевизора
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Кнопка спуска затвора для фото
Электроника и электротовары,Аксессуары для электроники,Аксессуар к фото и видео,Фото отражатель
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Устройство аудиомонтажа
Электроника и электротовары,Компьютеры и периферия,Периферийное оборудование,Принтер для наклеек
